player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name,season_start_year
195778,2026-06-30,25/26,79,27,VfB Stuttgart,Bayern Munich,0.0,12000000.0,Alexander Nübel,2025
569033,2026-06-30,25/26,39,27,1.FSV Mainz 05,Bayern Munich,0.0,4000000.0,Armindo Sieb,2025
626913,2026-06-30,25/26,398,380,Lazio,Salernitana,0.0,15000000.0,Boulaye Dia,2025
315762,2025-12-31,25/26,114977,940,San Diego,Celta de Vigo,0.0,1500000.0,Luca de la Torre,2025
872184,2025-12-31,25/26,69261,940,Miami,Celta de Vigo,0.0,2000000.0,Tadeo Allende,2025
234811,2025-07-01,25/26,150,336,Real Betis,Sporting CP,4700000.0,5000000.0,Rui Silva,2025
278343,2025-07-01,25/26,167,114,FC Augsburg,Besiktas,5000000.0,8000000.0,Felix Uduokhai,2025
283994,2025-07-01,25/26,39,3911,1.FSV Mainz 05,Stade Brestois,2000000.0,4000000.0,Ludovic Ajorque,2025
287579,2025-07-01,25/26,430,36,Fiorentina,Fenerbahce,13000000.0,22000000.0,Sofyan Amrabat,2025
301238,2025-07-01,25/26,2919,506,Monza,Juventus,14300000.0,18000000.0,Michele Di Gregorio,2025
375137,2025-07-01,25/26,162,141,Monaco,Galatasaray,8000000.0,8000000.0,Ismail Jakobs,2025
486031,2025-07-01,25/26,430,506,Fiorentina,Juventus,28100000.0,35000000.0,Nico González,2025
490423,2025-07-01,25/26,409,1047,RB Salzburg,Como,5000000.0,3000000.0,Ignace Van der Brempt,2025
624690,2025-07-01,25/26,18,12,Bor. M'gladbach,AS Roma,18000000.0,26000000.0,Manu Koné,2025
746910,2025-07-01,25/26,3948,82,Union SG,VfL Wolfsburg,15000000.0,22000000.0,Mohamed Amoura,2025
822959,2025-07-01,25/26,533,27,TSG Hoffenheim,Bayern Munich,0.0,12000000.0,Tom Bischof,2025
892160,2025-07-01,25/26,447,148,Hajduk Split,Tottenham,11000000.0,10000000.0,Luka Vuskovic,2025
926694,2025-07-01,25/26,13,23826,Atlético Madrid,RB Leipzig,20000000.0,25000000.0,Arthur Vermeeren,2025
66100,2025-06-30,24/25,12321,131,Girona,Barcelona,0.0,1800000.0,Oriol Romeu,2024
80444,2025-06-30,24/25,978,405,Vasco da Gama,Aston Villa,0.0,7500000.0,Philippe Coutinho,2024
81173,2025-06-30,24/25,409,23826,RB Salzburg,RB Leipzig,0.0,2000000.0,Janis Blaswich,2024
88682,2025-06-30,24/25,749,506,FC Empoli,Juventus,0.0,1000000.0,Mattia De Sciglio,2024
88706,2025-06-30,24/25,1038,8970,Sampdoria,Frosinone,0.0,800000.0,Simone Romagnoli,2024
111819,2025-06-30,24/25,11,989,Arsenal,Bournemouth,0.0,2000000.0,Neto,2024
115763,2025-06-30,24/25,1467,276,Göztepe,Hellas Verona,0.0,700000.0,Koray Günter,2024
126719,2025-06-30,24/25,1050,583,Villarreal,Paris SG,0.0,2500000.0,Juan Bernat,2024
131951,2025-06-30,24/25,332,276,Bari,Hellas Verona,0.0,950000.0,Kevin Lasagna,2024
144244,2025-06-30,24/25,190,1390,FC Copenhagen,Cagliari Calcio,0.0,2800000.0,Pantelis Hatzidiakos,2024
148928,2025-06-30,24/25,368,13,Sevilla FC,Atlético Madrid,0.0,3500000.0,Saúl Ñíguez,2024
149829,2025-06-30,24/25,415,36,Toulouse,Fenerbahce,0.0,1800000.0,Miha Zajc,2024
161011,2025-06-30,24/25,36,506,Fenerbahce,Juventus,0.0,6000000.0,Filip Kostić,2024
162959,2025-06-30,24/25,610,506,Ajax,Juventus,0.0,3500000.0,Daniele Rugani,2024
167799,2025-06-30,24/25,244,148,Marseille,Tottenham,0.0,20000000.0,Pierre-Emile Højbjerg,2024
168157,2025-06-30,24/25,58,405,RSC Anderlecht,Aston Villa,0.0,6000000.0,Leander Dendoncker,2024
170481,2025-06-30,24/25,2919,398,Monza,Lazio,0.0,500000.0,Jean-Daniel Akpa Akpro,2024
170527,2025-06-30,24/25,148,23826,Tottenham,RB Leipzig,0.0,15000000.0,Timo Werner,2024
177847,2025-06-30,24/25,472,368,UD Las Palmas,Sevilla FC,0.0,1500000.0,Adnan Januzaj,2024
181375,2025-06-30,24/25,200,16,FC Utrecht,Bor. Dortmund,0.0,3000000.0,Sébastien Haller,2024
181579,2025-06-30,24/25,703,379,Nottm Forest,West Ham,0.0,16000000.0,James Ward-Prowse,2024
182904,2025-06-30,24/25,13,131,Atlético Madrid,Barcelona,0.0,7500000.0,Clément Lenglet,2024
199733,2025-06-30,24/25,430,398,Fiorentina,Lazio,0.0,4000000.0,Danilo Cataldi,2024
200188,2025-06-30,24/25,2581,252,Mantova,Genoa,0.0,1300000.0,Mattia Aramu,2024
208172,2025-06-30,24/25,1091,1390,PAOK Salonika,Cagliari Calcio,0.0,2200000.0,Mateusz Wieteska,2024
215096,2025-06-30,24/25,306,38,Heerenveen,F. Düsseldorf,0.0,750000.0,Jordy de Wijs,2024
217115,2025-06-30,24/25,244,29,Marseille,Everton,0.0,12000000.0,Neal Maupay,2024
226025,2025-06-30,24/25,1047,8970,Como,Frosinone,0.0,2000000.0,Luca Mazzitelli,2024
226073,2025-06-30,24/25,126,350,C. Rizespor,Sheff Utd,0.0,2600000.0,Ivo Grbic,2024
234781,2025-06-30,24/25,252,379,Genoa,West Ham,0.0,8000000.0,Maxwel Cornet,2024
234811,2025-06-30,24/25,336,150,Sporting CP,Real Betis,0.0,5000000.0,Rui Silva,2024
238993,2025-06-30,24/25,6195,1390,Napoli,Cagliari Calcio,0.0,2000000.0,Simone Scuffet,2024
239962,2025-06-30,24/25,82,190,VfL Wolfsburg,FC Copenhagen,0.0,5000000.0,Denis Vavro,2024
242063,2025-06-30,24/25,124,82,Rangers,VfL Wolfsburg,0.0,8000000.0,Vaclav Cerny,2024
242359,2025-06-30,24/25,13,800,Atlético Madrid,Atalanta BC,0.0,4000000.0,Juan Musso,2024
244192,2025-06-30,24/25,252,800,Genoa,Atalanta BC,0.0,2500000.0,Pierluigi Gollini,2024
244940,2025-06-30,24/25,82,16,VfL Wolfsburg,Bor. Dortmund,0.0,7000000.0,Salih Özcan,2024
247377,2025-06-30,24/25,1005,1025,Lecce,Bologna,0.0,1000000.0,Kevin Bonifazi,2024
247555,2025-06-30,24/25,3911,39,Stade Brestois,1.FSV Mainz 05,0.0,3500000.0,Edimilson Fernandes,2024
258027,2025-06-30,24/25,294,583,Benfica,Paris SG,0.0,5000000.0,Renato Sanches,2024
258039,2025-06-30,24/25,1421,24,Stade Reims,E. Frankfurt,0.0,5000000.0,Aurélio Buta,2024
263380,2025-06-30,24/25,3057,533,Standard Liège,TSG Hoffenheim,0.0,2000000.0,Attila Szalai,2024
263727,2025-06-30,24/25,1108,368,Alavés,Sevilla FC,0.0,2500000.0,Joan Jordán,2024
268670,2025-06-30,24/25,367,16795,Rayo Vallecano,Granada CF,0.0,2000000.0,Gerard Gumbau,2024
272261,2025-06-30,24/25,10484,430,Kasimpasa,Fiorentina,0.0,3400000.0,Antonín Barák,2024
273132,2025-06-30,24/25,430,89,Fiorentina,Union Berlin,0.0,8000000.0,Robin Gosens,2024
275218,2025-06-30,24/25,367,209,Rayo Vallecano,River Plate,0.0,6000000.0,Augusto Batalla,2024
276896,2025-06-30,24/25,398,244,Lazio,Marseille,0.0,4000000.0,Samuel Gigot,2024
278343,2025-06-30,24/25,114,167,Besiktas,FC Augsburg,0.0,8000000.0,Felix Uduokhai,2024
278359,2025-06-30,24/25,940,150,Celta de Vigo,Real Betis,0.0,4000000.0,Borja Iglesias,2024
282810,2025-06-30,24/25,3709,940,Getafe,Celta de Vigo,0.0,3000000.0,Carles Pérez,2024
283994,2025-06-30,24/25,3911,39,Stade Brestois,1.FSV Mainz 05,0.0,4000000.0,Ludovic Ajorque,2024
285323,2025-06-30,24/25,417,273,OGC Nice,Stade Rennais,0.0,7000000.0,Baptiste Santamaria,2024
286415,2025-06-30,24/25,12321,244,Girona,Marseille,0.0,3500000.0,Pau López,2024
287579,2025-06-30,24/25,36,430,Fenerbahce,Fiorentina,0.0,22000000.0,Sofyan Amrabat,2024
287700,2025-06-30,24/25,3385,398,Panserraikos,Lazio,0.0,600000.0,Mohamed Salim Fares,2024
288318,2025-06-30,24/25,367,3302,Rayo Vallecano,UD Almería,0.0,1500000.0,Adrián Embarba,2024
289592,2025-06-30,24/25,29,1041,Everton,Olympique Lyon,0.0,20000000.0,Orel Mangala,2024
293169,2025-06-30,24/25,10484,430,Kasimpasa,Fiorentina,0.0,3200000.0,Josip Brekalo,2024
293194,2025-06-30,24/25,416,610,Torino,Ajax,0.0,6000000.0,Borna Sosa,2024
296227,2025-06-30,24/25,467,4,NEC Nijmegen,1.FC Nuremberg,0.0,600000.0,Iván Márquez,2024
297583,2025-06-30,24/25,89,79,Union Berlin,VfB Stuttgart,0.0,4000000.0,Woo-yeong Jeong,2024
298583,2025-06-30,24/25,366,1049,Real Valladolid,Valencia,0.0,3000000.0,Eray Cömert,2024
298635,2025-06-30,24/25,276,380,Hellas Verona,Salernitana,0.0,1800000.0,Grigoris Kastanos,2024
301238,2025-06-30,24/25,506,2919,Juventus,Monza,0.0,18000000.0,Michele Di Gregorio,2024
305947,2025-06-30,24/25,430,252,Fiorentina,Genoa,0.0,28000000.0,Albert Gudmundsson,2024
309393,2025-06-30,24/25,2446,252,WSG Tirol,Genoa,0.0,700000.0,Lennart Czyborra,2024
315865,2025-06-30,24/25,252,6574,Genoa,Sassuolo,0.0,16000000.0,Andrea Pinamonti,2024
320411,2025-06-30,24/25,6195,989,Napoli,Bournemouth,0.0,14000000.0,Philip Billing,2024
322655,2025-06-30,24/25,276,380,Hellas Verona,Salernitana,0.0,4000000.0,Flavius Daniliuc,2024
324377,2025-06-30,24/25,749,1005,FC Empoli,Lecce,0.0,4000000.0,Youssef Maleh,2024
330208,2025-06-30,24/25,130,252,Parma,Genoa,0.0,2000000.0,Alessandro Vogliacco,2024
331496,2025-06-30,24/25,237,12321,RCD Mallorca,Girona,0.0,2500000.0,Valery Fernández,2024
331726,2025-06-30,24/25,5,12,AC Milan,AS Roma,0.0,20000000.0,Tammy Abraham,2024
335147,2025-06-30,24/25,749,380,FC Empoli,Salernitana,0.0,1400000.0,Junior Sambia,2024
337333,2025-06-30,24/25,714,89,Espanyol,Union Berlin,0.0,6000000.0,Alex Král,2024
337715,2025-06-30,24/25,1049,681,Valencia,Real Sociedad,0.0,5000000.0,Umar Sadiq,2024
338285,2025-06-30,24/25,621,940,Athletic,Celta de Vigo,0.0,4000000.0,Unai Núñez,2024
338672,2025-06-30,24/25,354,46,KV Mechelen,Inter,0.0,2500000.0,Zinho Vanheusden,2024
340325,2025-06-30,24/25,931,11,Fulham,Arsenal,0.0,18000000.0,Reiss Nelson,2024
340521,2025-06-30,24/25,2423,41,Santa Clara,Hamburger SV,0.0,800000.0,Gui Ramos,2024
341019,2025-06-30,24/25,8024,252,Arouca,Genoa,0.0,1200000.0,Güven Yalçın,2024
342226,2025-06-30,24/25,714,167,Espanyol,FC Augsburg,0.0,2000000.0,Irvin Cardona,2024
343475,2025-06-30,24/25,677,800,Ipswich,Atalanta BC,0.0,8000000.0,Ben Godfrey,2024
344152,2025-06-30,24/25,1003,873,Leicester,Crystal Palace,0.0,14000000.0,Odsonne Edouard,2024
345748,2025-06-30,24/25,1053,1095,Aalborg BK,Troyes,0.0,900000.0,Andreas Bruus,2024
346567,2025-06-30,24/25,398,506,Lazio,Juventus,0.0,3500000.0,Luca Pellegrini,2024
348026,2025-06-30,24/25,15,583,B. Leverkusen,Paris SG,0.0,10000000.0,Nordi Mukiele,2024
351749,2025-06-30,24/25,677,281,Ipswich,Man City,0.0,20000000.0,Kalvin Phillips,2024
354814,2025-06-30,24/25,826,430,Lens,Fiorentina,0.0,8000000.0,M'Bala Nzola,2024
355861,2025-06-30,24/25,12321,1050,Girona,Villarreal,0.0,8000000.0,Arnaut Danjuma,2024
357796,2025-06-30,24/25,276,380,Hellas Verona,Salernitana,0.0,4000000.0,Domagoj Bradarić,2024
358008,2025-06-30,24/25,1390,6195,Cagliari Calcio,Napoli,0.0,5000000.0,Gianluca Gaetano,2024
361065,2025-06-30,24/25,1082,800,LOSC Lille,Atalanta BC,0.0,5000000.0,Mitchel Bakker,2024
361254,2025-06-30,24/25,1049,368,Valencia,Sevilla FC,0.0,800000.0,Rafa Mir,2024
361914,2025-06-30,24/25,681,379,Real Sociedad,West Ham,0.0,35000000.0,Nayef Aguerd,2024
364133,2025-06-30,24/25,749,416,FC Empoli,Torino,0.0,3000000.0,Pietro Pellegri,2024
367992,2025-06-30,24/25,1005,1025,Lecce,Bologna,0.0,6000000.0,Jesper Karlsson,2024
368891,2025-06-30,24/25,24,273,E. Frankfurt,Stade Rennais,0.0,20000000.0,Arthur Theate,2024
369267,2025-06-30,24/25,1049,3524,Valencia,Clermont Foot,0.0,1500000.0,Maximiliano Caufriez,2024
369684,2025-06-30,24/25,24,399,E. Frankfurt,Leeds,0.0,10000000.0,Rasmus Kristensen,2024
370998,2025-06-30,24/25,660,82,Shakhtar D.,VfL Wolfsburg,0.0,1800000.0,Bartol Franjic,2024
371000,2025-06-30,24/25,443,167,Vejle BK,FC Augsburg,0.0,850000.0,David Colina,2024
371008,2025-06-30,24/25,1084,2424,Málaga CF,Gil Vicente,0.0,700000.0,Roko Baturina,2024
371371,2025-06-30,24/25,714,12,Espanyol,AS Roma,0.0,4500000.0,Marash Kumbulla,2024
372246,2025-06-30,24/25,379,583,West Ham,Paris SG,0.0,20000000.0,Carlos Soler,2024
373433,2025-06-30,24/25,58,1041,RSC Anderlecht,Olympique Lyon,0.0,4000000.0,Adryelson,2024
375137,2025-06-30,24/25,141,162,Galatasaray,Monaco,0.0,8000000.0,Ismail Jakobs,2024
377042,2025-06-30,24/25,430,6195,Fiorentina,Napoli,0.0,7000000.0,Michael Folorunsho,2024
381950,2025-06-30,24/25,12,5,AS Roma,AC Milan,0.0,12000000.0,Alexis Saelemaekers,2024
381967,2025-06-30,24/25,368,11,Sevilla FC,Arsenal,0.0,12000000.0,Albert Sambi Lokonga,2024
382478,2025-06-30,24/25,167,82,FC Augsburg,VfL Wolfsburg,0.0,4000000.0,Cédric Zesiger,2024
387234,2025-06-30,24/25,749,3522,FC Empoli,Spezia Calcio,0.0,2500000.0,Szymon Żurkowski,2024
389837,2025-06-30,24/25,1025,398,Bologna,Lazio,0.0,7000000.0,Nicolò Casale,2024
391065,2025-06-30,24/25,290,989,AJ Auxerre,Bournemouth,0.0,18000000.0,Hamed Junior Traoré,2024
391780,2025-06-30,24/25,86,141,Werder Bremen,Galatasaray,0.0,6000000.0,Derrick Köhn,2024
392085,2025-06-30,24/25,800,141,Atalanta BC,Galatasaray,0.0,18000000.0,Nicolò Zaniolo,2024
392163,2025-06-30,24/25,35,60,FC St. Pauli,SC Freiburg,0.0,3500000.0,Noah Weißhaupt,2024
392179,2025-06-30,24/25,202,1132,FC Groningen,Burnley,0.0,6500000.0,Hjalmar Ekdal,2024
392538,2025-06-30,24/25,1025,5,Bologna,AC Milan,0.0,10000000.0,Tommaso Pobega,2024
392777,2025-06-30,24/25,2425,703,Rio Ave,Nottm Forest,0.0,1200000.0,Jonathan Panzo,2024
392959,2025-06-30,24/25,430,2919,Fiorentina,Monza,0.0,16000000.0,Andrea Colpani,2024
393321,2025-06-30,24/25,35,40058,FC St. Pauli,New York City,0.0,3000000.0,James Sands,2024
395236,2025-06-30,24/25,430,5,Fiorentina,AC Milan,0.0,15000000.0,Yacine Adli,2024
397225,2025-06-30,24/25,252,6195,Genoa,Napoli,0.0,6000000.0,Alessandro Zanoli,2024
398131,2025-06-30,24/25,1532,1049,Albacete,Valencia,0.0,200000.0,Cristian Rivero,2024
401173,2025-06-30,24/25,631,985,Chelsea,Man Utd,0.0,30000000.0,Jadon Sancho,2024
401923,2025-06-30,24/25,141,6195,Galatasaray,Napoli,0.0,75000000.0,Victor Osimhen,2024
412513,2025-06-30,24/25,458,276,Palermo,Hellas Verona,0.0,2000000.0,Thomas Henry,2024
412932,2025-06-30,24/25,80,162,VfL Bochum,Monaco,0.0,5000000.0,Myron Boadu,2024
413605,2025-06-30,24/25,2832,2239,Gaziantep FK,Cremonese,0.0,2400000.0,David Okereke,2024
417346,2025-06-30,24/25,29,399,Everton,Leeds,0.0,16000000.0,Jack Harrison,2024
420465,2025-06-30,24/25,720,506,FC Porto,Juventus,0.0,12000000.0,Tiago Djaló,2024
421637,2025-06-30,24/25,167,1148,FC Augsburg,Brentford,0.0,9000000.0,Frank Onyeka,2024
421873,2025-06-30,24/25,1390,6195,Cagliari Calcio,Napoli,0.0,6000000.0,Elia Caprile,2024
422460,2025-06-30,24/25,1049,3368,Valencia,Levante,0.0,1000000.0,Dani Gómez,2024
424881,2025-06-30,24/25,2425,703,Rio Ave,Nottm Forest,0.0,2500000.0,Omar Richards,2024
425306,2025-06-30,24/25,873,703,Crystal Palace,Nottm Forest,0.0,4000000.0,Matt Turner,2024
429983,2025-06-30,24/25,543,940,Wolves,Celta de Vigo,0.0,27000000.0,Jørgen Strand Larsen,2024
430280,2025-06-30,24/25,607,506,Venezia,Juventus,0.0,6000000.0,Hans Nicolussi Caviglia,2024
431811,2025-06-30,24/25,749,12,FC Empoli,AS Roma,0.0,2500000.0,Ola Solbakken,2024
432092,2025-06-30,24/25,1390,800,Cagliari Calcio,Atalanta BC,0.0,6000000.0,Roberto Piccoli,2024
433257,2025-06-30,24/25,982,3302,Nacional,UD Almería,0.0,400000.0,Arvin Appiah,2024
433584,2025-06-30,24/25,607,6195,Venezia,Napoli,0.0,3500000.0,Alessio Zerbin,2024
448177,2025-06-30,24/25,42,24,Hannover 96,E. Frankfurt,0.0,1500000.0,Jessic Ngankam,2024
459128,2025-06-30,24/25,800,8970,Atalanta BC,Frosinone,0.0,8000000.0,Marco Brescianini,2024
459661,2025-06-30,24/25,653,46,OFI Crete FC,Inter,0.0,1000000.0,Eddie Salcedo,2024
460245,2025-06-30,24/25,39,82,1.FSV Mainz 05,VfL Wolfsburg,0.0,6000000.0,Moritz Jenz,2024
